route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"0-1-y12-1","1","4782.26.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4744.26.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4815.26.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4801.26.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4803.27.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4742.28.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4799.28.0-1-y12-1.2.O","0-1-y12-1.2.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4831.29.0-1-y12-1.3.O","0-1-y12-1.3.O","Shanard Avenue - Simmonscourt View","0"
"0-1-y12-1","1","4757.33.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4795.33.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4828.33.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4776.33.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4759.36.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4797.36.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4778.36.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4830.36.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4780.36.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4787.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4820.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4838.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4770.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4751.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4808.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4789.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
