,TravelTime,HourFrame,Day,SchoolHoliday,Rain,WindSpeed,TimeFrame,JourneyPatternID,VehicleJourneyID,SSID
0,39,6,Tuesday,False,0.0,12.0,2012-11-06,046A1001,7220,09090786
1,59,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7222,09090786
2,82,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7224,09090786
3,59,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7226,09090786
4,18,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7230,09090786
5,41,6,Tuesday,False,0.0,12.0,2012-11-06,046A1001,7231,09090786
6,59,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7233,09090786
7,78,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7235,09090786
8,59,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7237,09090786
9,61,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7239,09090786
10,39,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7241,09090786
11,62,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7243,09090786
12,39,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7245,09090786
13,59,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7247,09090786
14,99,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7249,09090786
15,59,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7251,09090786
16,61,22,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7253,09090786
17,39,6,Tuesday,False,0.0,12.0,2012-11-06,046A1001,7255,09090786
18,61,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7257,09090786
19,61,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7259,09090786
20,39,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7261,09090786
21,59,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7263,09090786
22,66,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7265,09090786
23,61,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7268,09090786
24,59,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7270,09090786
25,82,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7272,09090786
26,96,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7274,09090786
27,61,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7276,09090786
28,41,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7278,09090786
29,100,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7280,09090786
30,59,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7282,09090786
31,59,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7284,09090786
32,119,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7286,09090786
33,59,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7290,09090786
34,39,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7292,09090786
35,79,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7294,09090786
36,101,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7296,09090786
37,80,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7298,09090786
38,101,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7301,09090786
39,43,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7303,09090786
40,43,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7305,09090786
41,98,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7307,09090786
42,39,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7309,09090786
43,39,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7310,09090786
44,60,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7312,09090786
45,41,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7314,09090786
46,60,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7316,09090786
47,82,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7318,09090786
48,36,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7320,09090786
49,62,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7322,09090786
50,39,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7324,09090786
51,43,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7326,09090786
52,60,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7328,09090786
53,42,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7330,09090786
54,43,22,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7332,09090786
55,39,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7334,09090786
56,61,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7336,09090786
57,82,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7338,09090786
58,39,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7340,09090786
59,43,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7342,09090786
60,59,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7342,09090786
61,41,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7344,09090786
62,59,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7347,09090786
63,39,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7349,09090786
64,57,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7353,09090786
65,57,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7354,09090786
66,39,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7356,09090786
67,60,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7358,09090786
68,58,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7360,09090786
69,59,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7362,09090786
70,80,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7365,09090786
71,98,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7367,09090786
72,60,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7369,09090786
73,61,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7371,09090786
74,59,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7373,09090786
75,61,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7375,09090786
76,41,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7377,09090786
77,59,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7379,09090786
78,62,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7381,09090786
79,62,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7383,09090786
80,59,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7387,09090786
81,65,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7389,09090786
82,43,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7391,09090786
83,59,23,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7393,09090786
84,86,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7395,09090786
85,82,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7397,09090786
86,38,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7399,09090786
87,39,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7401,09090786
88,59,21,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7403,09090786
89,60,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7407,09090786
90,56,12,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7409,09090786
91,64,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7411,09090786
92,39,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7413,09090786
93,59,20,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7415,09090786
94,19,23,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7417,09090786
95,59,8,Tuesday,False,0.0,15.0,2012-11-06,046A1001,7418,09090786
96,41,11,Tuesday,False,0.0,17.5,2012-11-06,046A1001,7420,09090786
97,39,14,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7422,09090786
98,62,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7424,09090786
99,39,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7426,09090786
100,40,22,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7428,09090786
101,39,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7430,09090786
102,59,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7432,09090786
103,57,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7434,09090786
104,60,15,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7436,09090786
105,59,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7438,09090786
106,39,7,Tuesday,False,0.0333251953125,14.5,2012-11-06,046A1001,7439,09090786
107,80,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7441,09090786
108,40,13,Tuesday,False,0.0,17.0,2012-11-06,046A1001,7443,09090786
109,60,19,Tuesday,False,0.0,16.0,2012-11-06,046A1001,7447,09090786
110,41,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7453,09090786
111,35,18,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7454,09090786
112,41,10,Tuesday,False,0.0,16.5,2012-11-06,046A1001,7461,09090786
113,80,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7467,09090786
114,18,16,Tuesday,False,0.0,15.5,2012-11-06,046A1001,7469,09090786
115,59,17,Tuesday,False,0.0,14.0,2012-11-06,046A1001,7476,09090786
116,59,9,Tuesday,False,0.0,15.5,2012-11-06,046A1001,961292,09090786
117,61,6,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7220,09090786
118,80,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7222,09090786
119,78,12,Wednesday,False,0.0,17.0,2012-11-07,046A1001,7224,09090786
120,59,15,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7226,09090786
121,59,18,Wednesday,False,0.0333251953125,16.0,2012-11-07,046A1001,7228,09090786
122,61,6,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7231,09090786
123,61,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7233,09090786
124,61,12,Wednesday,False,0.0,17.0,2012-11-07,046A1001,7235,09090786
125,81,15,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7237,09090786
126,60,18,Wednesday,False,0.0333251953125,16.0,2012-11-07,046A1001,7239,09090786
127,100,8,Wednesday,False,0.0,14.5,2012-11-07,046A1001,7243,09090786
128,77,11,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7245,09090786
129,60,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7247,09090786
130,100,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7249,09090786
131,80,19,Wednesday,False,0.066650390625,16.0,2012-11-07,046A1001,7251,09090786
132,20,22,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7253,09090786
133,39,6,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7255,09090786
134,60,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7257,09090786
135,59,12,Wednesday,False,0.0,17.0,2012-11-07,046A1001,7259,09090786
136,59,18,Wednesday,False,0.0333251953125,16.0,2012-11-07,046A1001,7263,09090786
137,21,21,Wednesday,False,0.0,17.5,2012-11-07,046A1001,7265,09090786
138,39,6,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7268,09090786
139,62,10,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7270,09090786
140,78,13,Wednesday,False,0.0,18.0,2012-11-07,046A1001,7272,09090786
141,80,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7274,09090786
142,58,18,Wednesday,False,0.0333251953125,16.0,2012-11-07,046A1001,7276,09090786
143,40,21,Wednesday,False,0.0,17.5,2012-11-07,046A1001,7278,09090786
144,80,8,Wednesday,False,0.0,14.5,2012-11-07,046A1001,7280,09090786
145,41,11,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7282,09090786
146,43,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7284,09090786
147,78,17,Wednesday,False,0.0333251953125,18.0,2012-11-07,046A1001,7286,09090786
148,78,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7290,09090786
149,41,12,Wednesday,False,0.0,17.0,2012-11-07,046A1001,7292,09090786
150,59,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7294,09090786
151,60,17,Wednesday,False,0.0333251953125,18.0,2012-11-07,046A1001,7296,09090786
152,38,20,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7298,09090786
153,59,8,Wednesday,False,0.0,14.5,2012-11-07,046A1001,7301,09090786
154,41,11,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7303,09090786
155,39,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7305,09090786
156,61,17,Wednesday,False,0.0333251953125,18.0,2012-11-07,046A1001,7307,09090786
157,41,20,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7309,09090786
158,39,7,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7310,09090786
159,78,10,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7312,09090786
160,57,13,Wednesday,False,0.0,18.0,2012-11-07,046A1001,7314,09090786
161,60,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7316,09090786
162,60,19,Wednesday,False,0.066650390625,16.0,2012-11-07,046A1001,7318,09090786
163,20,21,Wednesday,False,0.0,17.5,2012-11-07,046A1001,7320,09090786
164,82,8,Wednesday,False,0.0,14.5,2012-11-07,046A1001,7322,09090786
165,39,11,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7324,09090786
166,80,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7326,09090786
167,98,17,Wednesday,False,0.0333251953125,18.0,2012-11-07,046A1001,7328,09090786
168,41,20,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7330,09090786
169,39,22,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7332,09090786
170,59,7,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7334,09090786
171,98,10,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7336,09090786
172,40,13,Wednesday,False,0.0,18.0,2012-11-07,046A1001,7338,09090786
173,80,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7340,09090786
174,38,19,Wednesday,False,0.066650390625,16.0,2012-11-07,046A1001,7342,09090786
175,21,21,Wednesday,False,0.0,17.5,2012-11-07,046A1001,7344,09090786
176,100,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7347,09090786
177,41,11,Wednesday,False,0.0,15.5,2012-11-07,046A1001,7349,09090786
178,59,14,Wednesday,False,0.0,16.0,2012-11-07,046A1001,7351,09090786
179,96,17,Wednesday,False,0.0333251953125,18.0,2012-11-07,046A1001,7353,09090786
180,59,7,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7354,09090786
181,100,10,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7356,09090786
182,60,13,Wednesday,False,0.0,18.0,2012-11-07,046A1001,7358,09090786
183,140,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7360,09090786
184,59,19,Wednesday,False,0.066650390625,16.0,2012-11-07,046A1001,7362,09090786
185,80,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7365,09090786
186,78,12,Wednesday,False,0.0,17.0,2012-11-07,046A1001,7367,09090786
187,38,15,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7369,09090786
188,59,18,Wednesday,False,0.0333251953125,16.0,2012-11-07,046A1001,7371,09090786
189,78,7,Wednesday,False,0.0,14.0,2012-11-07,046A1001,7373,09090786
190,61,10,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7375,09090786
191,79,13,Wednesday,False,0.0,18.0,2012-11-07,046A1001,7377,09090786
192,59,16,Wednesday,False,0.0,16.5,2012-11-07,046A1001,7379,09090786
193,39,19,Wednesday,False,0.066650390625,16.0,2012-11-07,046A1001,7381,09090786
194,121,9,Wednesday,False,0.0,15.0,2012-11-07,046A1001,7383,09090786
