,TravelTime,HourFrame,Day,SchoolHoliday,Rain,WindSpeed,TimeFrame,JourneyPatternID,VehicleJourneyID,SSID
0,41,7,Tuesday,False,0.03333333333333333,14.5,2012-11-06,068A1001,1907,13481349
1,240,8,Tuesday,False,0.0,15.0,2012-11-06,068A1001,1908,13481349
2,43,9,Tuesday,False,0.0,15.5,2012-11-06,068A1001,1910,13481349
3,20,7,Tuesday,False,0.03333333333333333,14.5,2012-11-06,068A1001,2549,13481349
4,61,6,Wednesday,False,0.0,14.0,2012-11-07,068A1001,1906,13481349
5,39,9,Wednesday,False,0.0,15.0,2012-11-07,068A1001,1910,13481349
6,82,6,Thursday,False,0.0,13.5,2012-11-08,068A1001,1906,13481349
7,21,7,Thursday,False,0.0,12.5,2012-11-08,068A1001,1907,13481349
8,62,8,Thursday,False,0.0,9.5,2012-11-08,068A1001,1908,13481349
9,57,9,Thursday,False,0.0,10.5,2012-11-08,068A1001,1910,13481349
10,43,7,Thursday,False,0.0,12.5,2012-11-08,068A1001,2549,13481349
11,81,6,Friday,False,1.2666666666666668,16.0,2012-11-09,068A1001,1906,13481349
12,60,7,Friday,False,1.1666666666666667,16.0,2012-11-09,068A1001,1907,13481349
13,62,8,Friday,False,0.5666666666666668,16.0,2012-11-09,068A1001,1908,13481349
14,62,9,Friday,False,0.6666666666666666,16.0,2012-11-09,068A1001,1910,13481349
15,41,7,Friday,False,1.1666666666666667,16.0,2012-11-09,068A1001,2549,13481349
16,38,6,Monday,False,0.3666666666666667,8.5,2012-11-12,068A1001,1906,13481349
17,39,7,Monday,False,0.6666666666666666,9.5,2012-11-12,068A1001,1907,13481349
18,39,8,Monday,False,0.26666666666666666,12.5,2012-11-12,068A1001,1908,13481349
19,41,9,Monday,False,0.0,14.5,2012-11-12,068A1001,1910,13481349
20,20,7,Monday,False,0.6666666666666666,9.5,2012-11-12,068A1001,2549,13481349
21,59,6,Tuesday,False,0.0,21.5,2012-11-13,068A1001,1906,13481349
22,39,7,Tuesday,False,0.0,18.0,2012-11-13,068A1001,1907,13481349
23,41,8,Tuesday,False,0.0,17.0,2012-11-13,068A1001,1908,13481349
24,19,9,Tuesday,False,0.0,19.5,2012-11-13,068A1001,1910,13481349
25,61,6,Wednesday,False,0.0,13.0,2012-11-14,068A1001,1906,13481349
26,21,7,Wednesday,False,0.0,13.0,2012-11-14,068A1001,1907,13481349
27,19,8,Wednesday,False,0.0,10.5,2012-11-14,068A1001,1908,13481349
28,22,9,Wednesday,False,0.0,9.5,2012-11-14,068A1001,1910,13481349
29,40,7,Wednesday,False,0.0,13.0,2012-11-14,068A1001,2549,13481349
30,41,6,Thursday,False,0.0,3.5,2012-11-15,068A1001,1906,13481349
31,41,7,Thursday,False,0.0,3.5,2012-11-15,068A1001,1907,13481349
32,20,8,Thursday,False,0.0,3.5,2012-11-15,068A1001,1908,13481349
33,139,9,Thursday,False,0.0,3.0,2012-11-15,068A1001,1910,13481349
34,19,7,Thursday,False,0.0,3.5,2012-11-15,068A1001,2549,13481349
35,36,6,Friday,False,0.0,3.5,2012-11-16,068A1001,1906,13481349
36,20,7,Friday,False,0.0,2.5,2012-11-16,068A1001,1907,13481349
37,20,7,Friday,False,0.0,2.5,2012-11-16,068A1001,2549,13481349
38,41,6,Monday,False,0.9,22.5,2012-11-19,068A1001,1702,13481349
39,80,7,Monday,False,0.3333333333333333,22.0,2012-11-19,068A1001,1703,13481349
40,169,8,Monday,False,0.0,20.5,2012-11-19,068A1001,1704,13481349
41,41,9,Monday,False,0.0,20.5,2012-11-19,068A1001,1706,13481349
42,21,7,Monday,False,0.3333333333333333,22.0,2012-11-19,068A1001,2334,13481349
43,39,6,Tuesday,False,0.0,6.0,2012-11-20,068A1001,1702,13481349
44,68,7,Tuesday,False,0.0,12.0,2012-11-20,068A1001,1703,13481349
45,38,8,Tuesday,False,0.0,14.5,2012-11-20,068A1001,1704,13481349
46,41,9,Tuesday,False,0.0,12.0,2012-11-20,068A1001,1706,13481349
47,39,7,Tuesday,False,0.0,12.0,2012-11-20,068A1001,2334,13481349
48,21,6,Wednesday,False,0.0,4.5,2012-11-21,068A1001,1702,13481349
49,58,7,Wednesday,False,0.0,4.5,2012-11-21,068A1001,1703,13481349
50,106,8,Wednesday,False,0.0,4.5,2012-11-21,068A1001,1704,13481349
51,37,9,Wednesday,False,0.0,6.0,2012-11-21,068A1001,1706,13481349
52,39,7,Wednesday,False,0.0,4.5,2012-11-21,068A1001,2334,13481349
53,60,6,Thursday,False,0.0,24.0,2012-11-22,068A1001,1702,13481349
54,41,7,Thursday,False,0.5333333333333333,19.0,2012-11-22,068A1001,1703,13481349
55,321,8,Thursday,False,1.1666666666666667,15.5,2012-11-22,068A1001,1704,13481349
56,61,9,Thursday,False,2.6,16.0,2012-11-22,068A1001,1706,13481349
57,41,7,Thursday,False,0.5333333333333333,19.0,2012-11-22,068A1001,2334,13481349
58,20,6,Friday,False,0.0,13.0,2012-11-23,068A1001,1702,13481349
59,56,7,Friday,False,0.0,11.0,2012-11-23,068A1001,1703,13481349
60,121,8,Friday,False,0.0,11.5,2012-11-23,068A1001,1704,13481349
61,80,9,Friday,False,0.0,10.0,2012-11-23,068A1001,1706,13481349
62,21,6,Monday,False,0.0,14.0,2012-11-26,068A1001,1740,13481349
63,39,7,Monday,False,0.0,15.0,2012-11-26,068A1001,1741,13481349
64,240,8,Monday,False,0.0,16.0,2012-11-26,068A1001,1742,13481349
65,81,9,Monday,False,0.13333333333333333,15.0,2012-11-26,068A1001,1744,13481349
66,19,7,Monday,False,0.0,15.0,2012-11-26,068A1001,2373,13481349
67,21,6,Tuesday,False,0.0,12.5,2012-11-27,068A1001,1740,13481349
68,99,7,Tuesday,False,0.0,12.5,2012-11-27,068A1001,1741,13481349
69,378,8,Tuesday,False,0.0,12.0,2012-11-27,068A1001,1742,13481349
70,39,6,Wednesday,False,0.0,6.0,2012-11-28,068A1001,1740,13481349
71,20,7,Wednesday,False,0.0,5.5,2012-11-28,068A1001,1741,13481349
72,431,8,Wednesday,False,0.0,6.5,2012-11-28,068A1001,1742,13481349
73,154,9,Wednesday,False,0.0,6.5,2012-11-28,068A1001,1744,13481349
74,37,6,Thursday,False,0.0,6.0,2012-11-29,068A1001,1740,13481349
75,21,7,Thursday,False,0.0,6.0,2012-11-29,068A1001,1741,13481349
76,689,8,Thursday,False,0.0,5.5,2012-11-29,068A1001,1742,13481349
77,120,9,Thursday,False,0.0,5.5,2012-11-29,068A1001,1744,13481349
78,21,7,Thursday,False,0.0,6.0,2012-11-29,068A1001,2373,13481349
79,19,6,Friday,False,0.0,3.5,2012-11-30,068A1001,1740,13481349
80,21,7,Friday,False,0.0,2.5,2012-11-30,068A1001,1741,13481349
81,259,8,Friday,False,0.0,3.0,2012-11-30,068A1001,1742,13481349
82,61,9,Friday,False,0.0,1.5,2012-11-30,068A1001,1744,13481349
83,16,7,Wednesday,True,0.0,16.5,2013-01-02,068A1001,1674,13481349
84,39,8,Wednesday,True,0.0,18.0,2013-01-02,068A1001,1675,13481349
85,39,9,Wednesday,True,0.0,17.0,2013-01-02,068A1001,1677,13481349
86,23,7,Wednesday,True,0.0,16.5,2013-01-02,068A1001,2306,13481349
87,39,6,Thursday,True,0.0,11.0,2013-01-03,068A1001,1673,13481349
88,19,7,Thursday,True,0.0,11.0,2013-01-03,068A1001,1674,13481349
89,21,8,Thursday,True,0.0,9.5,2013-01-03,068A1001,1675,13481349
90,18,9,Thursday,True,0.0,9.5,2013-01-03,068A1001,1677,13481349
91,40,7,Thursday,True,0.0,11.0,2013-01-03,068A1001,2306,13481349
92,40,6,Friday,True,0.0,8.0,2013-01-04,068A1001,1673,13481349
93,39,7,Friday,True,0.0,9.5,2013-01-04,068A1001,1674,13481349
94,21,8,Friday,True,0.0,10.5,2013-01-04,068A1001,1675,13481349
95,19,9,Friday,True,0.0,10.0,2013-01-04,068A1001,1677,13481349
96,45,6,Monday,False,0.10000000000000002,6.0,2013-01-07,068A1001,1673,13481349
97,39,7,Monday,False,0.03333333333333333,9.0,2013-01-07,068A1001,1674,13481349
98,459,8,Monday,False,0.10000000000000002,9.0,2013-01-07,068A1001,1675,13481349
99,83,9,Monday,False,0.36666666666666653,9.5,2013-01-07,068A1001,1677,13481349
100,43,7,Monday,False,0.03333333333333333,9.0,2013-01-07,068A1001,2306,13481349
101,57,6,Tuesday,False,0.0,12.5,2013-01-08,068A1001,1673,13481349
102,41,7,Tuesday,False,0.0,12.0,2013-01-08,068A1001,1674,13481349
103,332,8,Tuesday,False,0.26666666666666666,11.5,2013-01-08,068A1001,1675,13481349
104,32,9,Tuesday,False,0.4000000000000001,12.0,2013-01-08,068A1001,1677,13481349
105,18,7,Tuesday,False,0.0,12.0,2013-01-08,068A1001,2306,13481349
106,20,6,Wednesday,False,0.0,5.0,2013-01-09,068A1001,1673,13481349
107,17,7,Wednesday,False,0.0,4.0,2013-01-09,068A1001,1674,13481349
108,576,8,Wednesday,False,0.0,3.0,2013-01-09,068A1001,1675,13481349
109,124,9,Wednesday,False,0.0,3.5,2013-01-09,068A1001,1677,13481349
110,40,7,Wednesday,False,0.0,4.0,2013-01-09,068A1001,2306,13481349
111,21,6,Thursday,False,0.0,3.5,2013-01-10,068A1001,1673,13481349
112,21,7,Thursday,False,0.0,6.5,2013-01-10,068A1001,1674,13481349
113,38,8,Thursday,False,0.0,6.5,2013-01-10,068A1001,1675,13481349
114,39,9,Thursday,False,0.0,6.5,2013-01-10,068A1001,1677,13481349
115,39,6,Friday,False,0.0,4.5,2013-01-11,068A1001,1673,13481349
116,21,7,Friday,False,0.0,5.0,2013-01-11,068A1001,1674,13481349
117,362,8,Friday,False,0.0,5.0,2013-01-11,068A1001,1675,13481349
118,80,9,Friday,False,0.0,5.0,2013-01-11,068A1001,1677,13481349
119,21,7,Friday,False,0.0,5.0,2013-01-11,068A1001,2306,13481349
120,45,7,Monday,False,0.0,10.0,2013-01-14,068A1001,1674,13481349
121,39,8,Monday,False,0.0,11.0,2013-01-14,068A1001,1675,13481349
122,46,9,Monday,False,0.03333333333333333,11.0,2013-01-14,068A1001,1677,13481349
123,45,7,Monday,False,0.0,10.0,2013-01-14,068A1001,2306,13481349
124,21,6,Tuesday,False,0.0,9.0,2013-01-15,068A1001,1673,13481349
125,38,7,Tuesday,False,0.0,9.5,2013-01-15,068A1001,1674,13481349
126,238,8,Tuesday,False,0.0,8.5,2013-01-15,068A1001,1675,13481349
127,119,9,Tuesday,False,0.0,8.5,2013-01-15,068A1001,1677,13481349
128,60,7,Tuesday,False,0.0,9.5,2013-01-15,068A1001,2306,13481349
129,220,8,Wednesday,False,0.0,5.5,2013-01-16,068A1001,1675,13481349
130,164,9,Wednesday,False,0.0,7.0,2013-01-16,068A1001,1677,13481349
131,20,6,Thursday,False,0.0,2.0,2013-01-17,068A1001,1673,13481349
132,80,7,Thursday,False,0.0,2.0,2013-01-17,068A1001,1674,13481349
133,122,8,Thursday,False,0.0,3.0,2013-01-17,068A1001,1675,13481349
134,40,9,Thursday,False,0.0,3.0,2013-01-17,068A1001,1677,13481349
135,20,7,Thursday,False,0.0,2.0,2013-01-17,068A1001,2306,13481349
136,80,7,Friday,False,0.7333333333333334,17.5,2013-01-18,068A1001,1674,13481349
137,154,8,Friday,False,2.1,18.0,2013-01-18,068A1001,1675,13481349
138,243,9,Friday,False,1.866666666666667,21.5,2013-01-18,068A1001,1677,13481349
139,21,7,Friday,False,0.7333333333333334,17.5,2013-01-18,068A1001,2306,13481349
140,41,6,Monday,False,0.8333333333333334,3.5,2013-01-21,068A1001,1673,13481349
141,61,7,Monday,False,1.0333333333333332,3.0,2013-01-21,068A1001,1674,13481349
142,254,8,Monday,False,1.2666666666666666,3.5,2013-01-21,068A1001,1675,13481349
143,36,9,Monday,False,1.5333333333333334,4.5,2013-01-21,068A1001,1677,13481349
144,27,7,Monday,False,1.0333333333333332,3.0,2013-01-21,068A1001,2306,13481349
145,20,6,Tuesday,False,0.0,2.5,2013-01-22,068A1001,1673,13481349
146,43,7,Tuesday,False,0.0,3.5,2013-01-22,068A1001,1674,13481349
147,79,8,Tuesday,False,0.0,2.0,2013-01-22,068A1001,1675,13481349
148,83,9,Tuesday,False,0.0,3.0,2013-01-22,068A1001,1677,13481349
149,41,7,Tuesday,False,0.0,3.5,2013-01-22,068A1001,2306,13481349
150,18,6,Wednesday,False,0.0,5.5,2013-01-23,068A1001,1673,13481349
151,37,7,Wednesday,False,0.0,4.5,2013-01-23,068A1001,1674,13481349
152,180,8,Wednesday,False,0.0,4.0,2013-01-23,068A1001,1675,13481349
153,20,9,Wednesday,False,0.0,5.0,2013-01-23,068A1001,1677,13481349
154,39,6,Thursday,False,0.0,2.0,2013-01-24,068A1001,1673,13481349
155,37,7,Thursday,False,0.0,2.5,2013-01-24,068A1001,1674,13481349
156,280,8,Thursday,False,0.0,2.5,2013-01-24,068A1001,1675,13481349
157,59,9,Thursday,False,0.0,2.0,2013-01-24,068A1001,1677,13481349
158,20,7,Thursday,False,0.0,2.5,2013-01-24,068A1001,2306,13481349
159,59,6,Friday,False,1.1333333333333333,9.0,2013-01-25,068A1001,1673,13481349
160,41,7,Friday,False,1.3,8.5,2013-01-25,068A1001,1674,13481349
161,416,8,Friday,False,0.2333333333333333,9.0,2013-01-25,068A1001,1675,13481349
