SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
47454989,0.157146007245,43.8850886027,26.3601767095,1149,7
50733679,0.0846010292596,14.8409662777,10.8905312852,42,2
31713173,0.164072434436,37.8863888553,33.3804925998,747,1
70797080,0.0740469426845,17.2059911917,14.3625244145,153,1
26411948,0.170158457583,26.2279592258,20.2879316629,670,1
00900091,0.0426235368694,27.8846246204,14.4072059739,7917,10
49274928,0.101511651824,31.6337508993,40.8634040538,3020,2
26162617,0.0505913383483,34.6216215893,31.0717801016,4122,5
20373046,0.0787513085084,47.7919782806,32.8542707641,780,1
25480946,0.336446470352,23.6181070842,17.9743490584,3342,4
12504698,0.0972007631945,22.4981998482,15.259277841,3556,3
20712072,0.141565848714,57.4529887682,34.4110377298,261,2
74532002,0.129041750943,23.8988165277,20.1898606257,3493,1
61446145,0.0936274229741,29.5350979793,27.4915866478,2201,2
11221123,0.156459428697,34.2959543759,34.5774022241,4963,6
22052687,0.0870855343493,26.2526335952,16.2293799553,7821,5
03340406,0.109353685633,17.2962550745,12.2477042982,10129,8
26362383,0.125703254656,32.5641313372,26.7121948555,1516,3
74614227,0.0689228815052,13.8087027456,10.7356564526,1236,1
61820322,0.0899412080769,53.3847310945,60.5868083987,4527,9
21402141,0.0802750707442,32.1839432467,25.3355663523,1801,8
24152416,0.214941572404,38.0357276609,37.8832841259,3122,1
06750621,-5.54147394638e-08,44.8703245492,34.0031944444,15,5
16661807,0.0992622220366,19.8923836378,16.8662473973,9158,8
16061607,0.13311274826,26.4457374523,20.7031982891,4456,4
12861288,0.273111542086,37.2552448219,25.7314975546,6935,7
74587425,0.197553041256,28.1935315807,17.6202134126,1783,5
21492150,0.0940443107806,24.103425526,12.9504755033,1772,10
71723775,0.0814176413542,32.8533155687,41.5121018716,1672,6
11000100,0.384443019515,37.6326597098,31.1023022032,3354,3
16481649,0.0783780075474,33.3618073744,27.7146725348,9015,5
35253527,0.126569123156,27.3039579907,21.9255733823,139,1
31873188,0.380036745506,33.9160849398,29.4643444927,680,1
29257442,0.16717902373,21.3435476148,17.4632214936,2538,2
41094110,0.131594351105,29.2703056821,28.4238341572,113,5
07990800,0.0521074137842,35.0216507929,27.9421010252,4910,3
08120813,0.126967140395,32.0370054759,30.7393019373,5180,2
16951696,0.356152590998,24.039642312,14.1323573617,1996,2
49074908,0.0842207198491,31.8181957029,31.7161635165,1703,6
43364337,0.0844968774983,14.1989319556,9.33746509243,1822,6
36567194,0.194965037038,16.8136472662,15.4546378291,158,1
61656157,0.198083439519,22.5753240169,13.6071301623,185,2
