SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
63186319,0.0225223620325,24.3895862113,12.5767832089,2105,1
72923818,0.220666170674,33.2176438736,25.9105789116,1615,6
73975140,0.34805093616,24.919293934,20.7161903692,3477,1
45254526,0.0319481469948,30.9157041519,14.710496508,1463,2
17897199,0.667030459026,18.7272379215,18.0389437296,47,1
00744371,0.180593533268,25.724251525,24.0806353466,2915,2
23941090,0.159762049811,31.0928492747,25.5447171226,3151,1
14821494,0.174082313482,25.8648733183,21.6538040168,3944,2
18314326,0.216252146189,66.4342785838,86.3084970242,1061,3
21122114,0.345773306868,20.530373323,16.5514659259,1531,2
06754415,0.131344290762,27.8443099524,23.2802568713,9212,5
49124913,0.106311790606,32.1445566957,39.5231435976,4205,6
20422043,0.0384600335913,34.7256595564,39.6983644162,3747,11
20602062,0.199681259714,37.9643362038,21.5811604111,373,9
14472637,0.0449008563404,22.2182152833,19.4802217884,562,8
16241625,0.177314719888,30.001804292,25.5935951097,9783,12
45643444,0.0943809468069,55.436861611,45.8122222934,355,3
17741651,0.123232057312,22.6831881444,17.9767948389,565,1
41274128,0.0323030526475,51.0534924625,54.7537836561,3660,11
02080209,0.0456888242163,16.2853335269,9.30570232678,570,3
25182520,0.167543366875,28.1833665178,22.852005499,1561,4
44131480,0.578207120384,10.369790039,8.1549878487,47,3
71267124,0.24438579054,24.3535510359,17.5832002605,3013,7
14441445,0.125418474348,31.1822643711,30.5554150412,29180,32
39363938,0.0511692435655,25.742489739,17.8485576923,1031,3
31047472,0.301654749117,26.9416928049,20.4481100032,944,1
12851286,0.253676759307,21.3326994591,17.2049724958,7176,7
09434503,0.0529465098549,24.5213439464,17.6908786986,598,1
10721074,0.348724120876,21.8506700946,18.2361679248,14659,10
18457166,0.119900341526,26.3564803694,21.3079771567,9116,11
72954198,0.0744816260128,33.8260248436,23.2939532486,193,2
14061407,0.174567773136,36.3431827676,32.8842727727,9969,10
72724956,0.0764757002151,15.0629047593,13.1839311903,388,3
11701069,0.264006648756,33.6785618963,27.5903065973,16416,16
47982674,0.232037285852,23.3236770543,20.8330465223,4116,2
46800090,0.0365455236599,41.7618868316,42.3423252072,8202,10
42994300,0.0439576475274,29.382434915,21.6022354464,2148,4
23312101,0.219395535379,43.5706076222,41.5441630821,1929,2
27722768,0.299271829846,32.9785399023,25.8124586687,528,1
40524054,0.109392678076,33.2086133553,38.5066647775,695,3
47936068,0.0337748981321,24.6843929675,19.9854478494,3223,8
14891490,0.0381129927884,37.4739265956,29.2092706054,2803,1
62296366,0.132250064678,29.3488283433,22.7826755752,2508,2
25426128,0.162865086225,15.9804933101,14.0897230125,833,2
13131055,0.126807962922,34.9413802908,30.2902187391,2390,9
19841985,0.308093813887,42.6240788385,38.9425928549,4943,16
16251626,0.108814594359,30.2252186064,24.9993485834,12074,14
32693270,0.299414961248,42.2692079318,23.0743122879,25,1
13580326,0.0633653878661,45.7299587138,39.3268803981,2156,2
45627386,0.156106112976,25.4602560516,18.1514855738,4123,2
36563653,0.0192239154391,42.3910707976,46.5887557799,2460,2
75055071,0.464028832911,17.7196738663,11.7731432227,1328,3
39606156,0.0645401262673,18.068920926,15.8923708276,183,2
01310164,0.232292390168,20.7811503401,16.653587539,3089,1
43084253,0.0418078332949,31.932044684,30.454132098,97,1
04530454,0.169232969401,32.1180741028,29.474923936,1017,2
23912392,0.222769396457,33.5074966996,30.6336186851,4474,2
17921793,0.143490053827,44.1080792868,35.8383901313,1116,1
35403541,0.0761038808005,19.8948229919,14.5045227252,1516,4
02454474,0.160141536228,29.1377635858,26.720581183,566,1
16031604,0.0366893205631,18.7220551306,8.05302696745,874,4
06880689,0.127876990948,32.1992495683,38.6125918225,473,4
32703271,0.781012881595,8.52886405959,7.59493670886,10,1
18411845,0.337712425143,13.5970445232,11.5431560044,743,3
33707168,0.140973659796,33.7796159548,33.1582026862,2686,2
62730136,0.115013880434,33.346849458,41.7459561615,2909,4
45970255,0.154776945245,21.067332654,16.6691413121,567,1
07610762,0.0118804507482,35.4516830517,27.4233490354,8791,23
04650466,0.117430790919,35.0915843004,39.5956826682,1072,4
47050475,0.19886173099,34.3462374838,28.6461534152,6072,8
25222524,0.127870876415,21.8917401645,16.3594797154,2597,5
19391940,0.15512190843,30.7994652132,30.430139124,10750,9
07060567,0.122920373733,18.1985499085,13.9304325398,247,1
37493750,0.0630350462099,43.8934895323,40.0115136408,1324,7
41424143,0.17626909351,28.3341981143,21.2296463447,1269,3
70274538,0.226203071674,14.5618358618,12.5282157099,2555,2
25672568,0.0664219727445,20.7236418992,16.3776504688,3349,2
16307347,0.0320538388713,30.5979714636,25.4731302986,3457,1
