SSID,R-squared,MAPE,MdAPE,Row_Count,Outiler%_Cut,JPID_Count
47694770,0.265711248476,21.3591225209,16.7101663338,3165,6.3332346848179935,4
35853587,0.650893420127,12.2944582586,8.95998104002,117,1.680672268907563,4
14781479,0.237989233698,30.8823634314,28.3339948664,28934,0.41302402423074275,34
29192920,0.250880338501,26.3565542282,23.7756643373,775,0.8951406649616368,2
18277382,0.119481167451,15.7298262898,11.6453760296,2699,4.964788732394366,4
00400146,0.210071797453,32.4888653555,25.0849800025,3832,0.9563194623933833,4
38097174,0.36996561721,12.5527483937,9.46801788727,508,3.053435114503817,3
72954199,0.488881617854,14.3288026672,8.95793143018,251,4.198473282442748,7
22127165,0.150753881976,24.8419465848,15.881939227,1778,6.470278800631247,2
33963397,0.341918756827,23.9119025802,19.3537915649,571,0.8680555555555556,4
37813782,0.272741089722,27.742856652,25.176665915,1629,2.9201430274135878,6
60146242,0.23058430937,33.0836575925,28.0366741894,2472,0.040436716538617065,3
04020405,0.212538961908,23.2988744784,19.1332951817,6459,0.9659613615455381,8
22492250,0.126321119072,12.1408063683,5.17503640302,2380,59.92591345344334,6
13893355,0.232897648991,33.7745948865,28.3352307019,2013,0.1983143282102132,1
29427065,0.337477155263,16.0484105793,13.3968417575,2498,0.23961661341853036,2
43313641,0.659568366863,9.12796714272,6.04290195871,176,0.0,1
07800781,0.105785381672,32.6947361585,26.508232848,5884,0.8091706001348618,10
34713472,0.187077675524,20.3672072271,14.9854818306,1611,10.945273631840797,5
41564169,0.136096376268,21.7101828872,18.3245668305,2881,0.8261617900172117,7
38963897,0.80858460178,2.09203444041,1.49403724918,133,40.090090090090094,4
22462247,0.29033006528,25.8400082914,19.1171054353,6703,1.3684520306062389,6
70564731,0.355897389455,25.2317328555,19.724070435,193,3.0150753768844223,1
21343378,0.338357962793,16.3056870873,14.4605031397,809,3.1137724550898205,4
42664307,0.999928181037,0.26015039038,0.189833460644,18,0.0,1
25392540,0.207893827121,26.6571044642,20.1380248814,3980,3.444929645803008,5
16614523,0.403768839984,21.3515828472,16.4364011439,2844,0.24552788495264818,1
24502328,0.342496589797,15.4718011302,12.9214376111,1917,0.36382536382536385,2
01410142,0.222547325502,29.7740342928,26.2700213451,4740,0.5455308434746118,6
02420243,0.366165332021,32.1318742644,27.2683120691,2930,0.3401360544217687,3
70626075,0.132842902942,31.0535423949,28.0352237944,3100,0.3215434083601286,3
01360137,0.100867855221,18.1028121452,13.2152863553,2622,13.264968574263976,4
35622899,0.335427943288,31.7306041666,27.2868755373,1462,1.2829169480081026,3
47477374,0.425188062232,11.2902312683,8.54890456448,4026,1.2509197939661516,3
06280629,0.256826948334,26.2111784974,22.9629375902,944,0.0,1
15840983,0.290902633881,22.8890802179,18.6545927879,4100,0.6782945736434108,6
06860688,0.553499884393,19.8356979503,13.8023579517,398,3.864734299516908,4
47454989,0.207843736929,6.11618963704,4.6434557254,904,21.32288946910357,7
50733679,0.940977757678,3.41423007428,2.13905814732,42,0.0,2
31713173,0.398259475726,30.0416338616,24.9669010889,735,1.606425702811245,1
70797080,0.14887344492,15.3920152608,11.7202435117,152,0.6535947712418301,1
26411948,0.359003045167,18.8554261086,15.7588625103,656,2.08955223880597,1
00900091,0.0857306501072,27.4916939418,18.9797148793,7869,0.6062902614626753,10
49274928,0.19793223187,28.0823008736,25.7182669327,3016,0.13245033112582782,2
26162617,0.0998979201569,33.2849008728,31.5414150303,4119,0.07278020378457059,5
20373046,0.26184958103,5.90978934198,4.27934382314,632,18.974358974358974,1
25480946,0.360043908163,20.4621478002,16.5125807427,3300,1.2567324955116697,4
12504698,0.19160631952,20.7516343907,16.2103719756,3542,0.3937007874015748,3
20712072,0.514068249536,17.2356421591,11.262940728,252,3.4482758620689653,2
74532002,0.249632046948,21.617036197,18.2883173086,3480,0.37217291726309765,1
61446145,0.199581397708,26.0988489656,23.1953010326,2149,2.3625624716038165,2
11221123,0.124838680641,28.8824008418,22.7234149842,4888,1.5111827523675196,6
22052687,0.18904293282,24.1223747469,17.6926052057,7400,5.382943357626902,5
03340406,0.231911592641,14.3368387305,10.8567393484,9969,1.5796228650409714,8
26362383,0.236655728344,29.9424377327,26.6092197798,1510,0.39577836411609496,3
74614227,0.250073525918,10.8588798246,8.94481732564,1217,1.5372168284789645,1
61820322,0.0934966451642,34.1254284814,29.3667821392,4355,3.7994256682129444,9
21402141,0.162894444328,29.2385280043,27.4814986482,1793,0.4441976679622432,8
24152416,0.362887492342,33.3213484814,28.6880755903,3106,0.5124919923126201,1
06750621,0.999974402097,0.0669312571442,0.0295390708762,14,6.666666666666667,5
16661807,0.177283790699,17.6357449046,13.9517650732,9010,1.6160733784669141,8
16061607,0.217324714355,23.7810224225,18.4290274497,4244,4.757630161579892,4
12861288,0.324209509395,32.9782606683,25.3875990493,6870,0.9372746935832732,7
74587425,0.239721410115,25.4945440663,18.9958493123,1767,0.89736399326977,5
21492150,0.182427787143,18.171677082,9.60423713518,1613,8.972911963882618,10
71723775,0.216650265619,28.7090137309,28.9379431542,1669,0.17942583732057416,6
11000100,0.246170418162,30.927495908,24.8641522704,3230,3.697078115682767,3
16481649,0.163772714556,30.4237196339,24.3039632546,8990,0.2773155851358846,5
35253527,0.507006750122,14.581645862,9.45732526879,130,6.474820143884892,1
31873188,0.603177767603,24.7801599699,18.6952298132,668,1.7647058823529411,1
29257442,0.225404162465,18.9288847817,14.7989946042,2492,1.8124507486209613,2
41094110,0.845054169788,2.16685528276,1.58154878961,87,23.008849557522122,5
07990800,0.0915262495915,32.5289821766,29.9127887709,4882,0.570264765784114,3
08120813,0.183949071329,29.3755400846,24.8708621849,5120,1.1583011583011582,2
16951696,0.470097154978,19.5557331569,14.7381012476,1960,1.8036072144288577,2
49074908,0.155235401841,28.1584852019,20.9469054527,1699,0.2348796241926013,6
43364337,0.220724823574,11.4659904557,8.05324073283,1753,3.7870472008781557,6
36567194,0.335507461488,13.9756989968,11.6699389492,158,0.0,1
61656157,0.589454704183,10.8706960965,6.44150669439,154,16.756756756756758,2
42924293,0.205076136843,17.3097711788,12.2567332941,1120,12.908242612752721,1
18372338,0.322101011161,22.5167358146,17.522789667,3505,1.9580419580419581,9
36573658,0.343650709367,22.1520301766,18.8308843882,1281,0.38880248833592534,2
41824151,0.185638644773,30.6316159865,25.6487384802,3481,4.682365826944141,2
35543555,0.272923315612,27.2740603495,23.6364888743,1500,0.6622516556291391,5
29142989,0.230205090824,22.2799389386,19.0473865026,2599,1.70196671709531,1
07230724,0.191171153515,23.4148836995,19.4725558415,2507,0.8306962025316456,1
05270528,0.174934278894,31.4351827311,28.3559297531,4920,0.5859769650434431,9
22385056,0.0434679116257,7.36773142064,4.92230543863,4550,14.505824877865464,7
43361051,0.191419500752,16.6399617467,14.1182971584,2633,0.3029155622870125,2
61976198,0.366105144225,20.9860635576,15.561791212,557,1.2411347517730495,1
04293032,0.196037180119,23.7835589355,20.7166970365,3753,2.5700934579439254,7
10061007,0.204126767839,28.9217363186,25.4046072936,1851,1.9597457627118644,4
41084109,0.924745328955,2.09628279686,0.383265785321,24,71.76470588235294,5
15151499,0.137176589347,22.2524910803,18.5051314571,2694,0.8830022075055187,2
25797395,0.675456045907,12.9175623575,7.08465553173,107,6.956521739130435,3
05850586,0.145928696396,22.9462908764,17.9345667642,2169,9.962640099626402,5
61244004,0.547366343931,14.7856862969,8.25027766073,193,25.482625482625483,3
10051788,0.214379516745,26.9673963796,23.5472846235,977,0.10224948875255624,1
38023805,0.314802045102,9.48617929064,7.59076890746,797,0.4993757802746567,3
18382338,0.472637345962,23.2577067684,17.0495021416,2325,9.70873786407767,7
61856186,0.893292805332,1.52186699239,0.270406598691,31,90.22082018927445,3
21684536,0.37376421033,18.8232194798,16.3566730973,772,2.648171500630517,1
31823183,0.383992538415,26.6136110772,23.1532795716,610,5.864197530864198,1
71227121,0.14311720351,3.81495105109,2.49954280985,1062,36.52121936640765,1
41454146,0.5110486312,23.4556306902,17.0485405998,210,0.9433962264150944,1
72394401,0.121597070934,28.2098681169,22.8157457033,9975,0.6869772998805257,16
35283529,0.663014903294,10.3129539602,7.54776878421,187,0.0,1
41384139,0.474091965231,14.7235557405,11.8130997505,265,2.93040293040293,1
61282544,0.253107843183,5.7950791272,4.57593966464,754,6.798516687268233,2
03400407,0.214890800346,31.4388276883,27.5806077724,4572,0.7166123778501629,3
10141015,0.327118889813,23.5676258364,18.5408937667,14604,0.3683995088006549,9
71883082,0.312581640437,5.30109400407,3.92857516521,547,19.676945668135094,3
45161369,0.329268301378,18.8527329348,14.6893988164,3582,3.657880580957504,1
51560924,0.447887996082,15.0343344722,12.213292312,313,1.2618296529968454,1
18087389,0.28322223713,13.3646455795,11.0758001094,3809,3.3984275932031447,1
46714672,0.118887896904,19.0065821673,17.8790964331,2905,7.80704538241828,10
03130334,0.185300075383,26.023665343,22.4250220288,4340,0.39017672710580675,3
37303732,0.461053686062,18.6348873908,15.2182706263,300,1.639344262295082,1
44352605,0.361699758596,22.3777789849,18.7113683771,1618,1.3414634146341464,3
15941595,0.0514078317953,31.9971271204,31.5212286142,2691,0.22246941045606228,2
12851016,0.376053080243,18.2405983254,14.8548075711,4696,0.6347862886161659,8
46941249,0.185573825676,24.0466299424,16.1219562321,2157,1.2362637362637363,3
28382839,0.315881428477,14.3082106139,7.6445697333,827,23.77880184331797,4
21722159,0.360224473781,21.3368900909,16.6829763188,3195,0.4982871379632513,11
11201299,0.525099786182,28.0449879591,21.8195613673,1298,0.3837298541826554,5
09480949,0.136437198757,24.1210000087,22.2934630825,1658,37.315689981096405,5
61546155,0.208020995124,26.0218516693,24.5526819722,2077,17.546645494243748,3
44352632,0.4266102287,20.9805812798,16.0890030812,3643,0.6273867975995635,2
11631337,0.429263875602,26.7633632119,21.4123996694,1449,0.13783597518952448,2
48261912,0.43986621886,21.3374006988,14.2855015794,450,0.0,1
00790080,0.27056643703,26.1250587637,20.3476726573,7863,5.674184261036468,11
37853786,0.218591667942,9.18181396809,4.21879723839,1240,30.493273542600896,6
07240725,0.278907369565,18.9518498916,14.9920698678,2451,3.8446449588073754,1
11551157,0.180360966244,19.6186822687,15.8118876839,7216,5.413553545680954,8
34973498,0.578729605701,16.9768862897,10.5371776799,162,2.9940119760479043,1
08690870,0.227351327018,28.168837311,22.8800934492,761,3.0573248407643314,4
07860793,0.387694904584,14.5258687795,11.5311255746,11794,1.2310526756553053,12
16691670,0.226814327256,32.8999931197,25.2760434492,2316,1.0679196924391285,1
21012102,0.237852775543,18.5180485736,15.8264475875,11029,0.7648011517005578,8
72477243,0.0931350528202,19.3398404271,18.2372050261,4348,2.598566308243728,8
42244225,0.303392415099,18.440657276,14.7200077821,2062,1.055662188099808,6
47734393,0.114514952556,20.3422540946,17.6506070877,2482,1.4297061159650517,6
05550557,0.568525149635,17.3029433552,14.5090038807,395,19.222903885480573,4
70997100,0.306730687419,19.1517597637,15.4276303546,2707,0.2579218865143699,4
09500928,0.172513711028,33.1187571858,27.7761120458,2232,0.6233303650934996,5
07634952,0.522797897206,12.5366328966,8.08448173082,181,9.950248756218905,7
08512791,0.291140782874,29.4007668028,24.9696472153,2015,0.24752475247524752,2
35183519,0.564629157268,13.2870922848,8.48250840902,170,1.7341040462427746,1
41704132,0.326389786104,30.5804148453,23.8474969181,3252,0.8838768668088998,7
13881389,0.359180304168,21.9949986762,18.0231234986,1991,1.337958374628345,1
07540755,0.104350776929,36.6579174686,30.4622180244,5626,1.9860627177700347,12
49867107,0.287909171356,25.0780490901,20.8332091585,1886,1.256544502617801,3
60867419,0.45129043012,23.3701160528,17.7466033096,198,1.492537313432836,1
11881189,0.213823886477,27.6643369651,22.6510859552,2361,2.4783147459727384,2
44212113,0.425444088771,21.7117039573,15.3360004775,437,1.3544018058690745,7
30823084,0.934249500618,10.6461525108,5.82201813898,60,0.0,1
51447027,0.127563696752,37.0312736931,24.207437888,2423,6.5561126108754335,2
16601661,0.381834707904,31.9077238182,23.0799502653,14651,1.7502682403433476,10
28612829,0.939706427081,4.72620687855,3.6100790007,42,0.0,2
34853486,0.270433313995,19.393776244,17.4484514766,1780,3.6796536796536796,5
20256086,0.531133547237,15.7564306292,12.416079851,197,1.5,1
21882189,0.264102827834,26.9766877149,21.7158411728,8610,1.5437392795883362,7
23115025,0.343873170402,22.9439058651,19.6251629288,2080,0.09606147934678194,1
20372040,0.158408886257,34.5705232949,23.7618674566,1226,4.887509697439876,4
02430253,0.378556851348,12.3558997233,9.2619491099,575,1.5410958904109588,1
45234524,0.200402881446,22.0828626287,16.8355986657,2828,1.153442852149598,1
05760577,0.226580628201,29.3350288887,22.6868989853,2051,2.750118539592224,3
03330401,0.338744893652,12.7049871942,9.6311148225,222,2.202643171806167,3
25404882,0.337689214325,35.2615349809,29.7539806588,749,0.5312084993359893,1
22014401,0.323026447779,25.941215713,21.4113550123,1247,9.309090909090909,18
22142215,0.124509754462,20.1686270767,17.6795578456,8887,8.173176276090102,15
16971698,0.104519221141,31.7973371604,25.943573098,8020,1.1097410604192355,13
20720867,0.538708827941,11.0793241933,7.89613431077,143,11.180124223602485,1
60832733,0.538869241921,11.4587305638,5.89093402028,257,21.165644171779142,1
07850791,0.862101818152,7.54809067771,5.09629596117,75,0.0,1
30613062,0.251953102426,22.7122675486,16.8073711776,1129,2.2510822510822512,2
61175079,0.239137895636,29.1371038818,24.6018148514,2646,0.4889056036103798,3
43014302,0.298984080626,6.16778081316,4.4052141457,494,20.45088566827697,5
14951496,0.159805524659,25.8362444397,19.729554361,1580,0.6289308176100629,1
25842585,0.422778983497,3.67218751832,1.65592402518,477,32.6271186440678,3
22082210,0.228362482479,24.2359084312,18.1957432815,1982,0.999000999000999,2
04010404,0.227233583345,22.0522482986,18.28170284,1932,0.6683804627249358,2
06430644,0.203001043116,28.8241308165,26.9944410474,1187,0.25210084033613445,2
16701671,0.239970117049,22.9802793507,19.5979715242,2150,2.890695573622403,1
42647296,0.392324724563,6.13663671201,2.81762273693,468,33.428165007112376,2
30633064,0.23184705591,28.7565220269,22.9936434961,1158,0.4299226139294927,7
11011102,0.218901452835,25.1119469016,20.9153071604,1642,0.9052504526252263,2
39863987,0.471828678078,18.1208859068,12.5938045829,1581,1.5566625155666252,2
00030192,0.290802763493,24.4641642404,20.2685162867,2187,0.7713248638838476,2
06250626,0.26477254637,18.6094875434,14.5175285349,960,2.140672782874618,1
71693743,0.297148133649,12.4776374586,9.68425410938,1047,0.2857142857142857,4
33343352,0.339604934762,35.3497199239,25.624677047,1385,1.5636105188343994,2
26652666,0.203039225321,25.0284063477,18.9452866652,2946,0.6408094435075885,2
10431044,0.204877636939,29.684138034,26.956694132,1329,1.0424422933730455,1
14790313,0.276256294269,18.6068112033,15.0156019546,16485,1.52917985783406,12
21717160,0.0879565460643,31.0803412052,26.4912258815,3064,1.0655473038424281,3
13661367,0.51566601966,29.4125958183,27.1515388139,3353,4.145225843339051,9
51205121,0.30441151746,9.42080639574,6.26322018023,915,0.7592190889370932,2
15861600,0.567211765098,17.9470480191,14.1580541431,261,9.059233449477352,2
10152812,0.314304838283,29.5697939565,25.3159323428,1648,0.4229607250755287,4
19141805,0.128088483401,29.1871380923,26.6571993296,6375,0.9170034193347839,4
29652983,0.341249328598,25.6821716616,19.1953791269,828,0.36101083032490977,5
15971599,0.162586364241,32.3409815211,27.9186662408,4292,0.20925366193908393,4
21342135,0.194821267427,28.6737636212,25.2229985678,1456,0.13717421124828533,2
00810817,0.281256720172,24.8484678039,19.7352171276,4485,0.22246941045606228,2
39297108,0.395032746216,26.7154541055,19.7044265673,1794,1.3201320132013201,2
31810447,0.462055246718,32.1763677678,21.6040571478,401,1.7156862745098038,4
12941295,0.419348767294,30.2888973814,26.4586450809,5303,0.31954887218045114,5
33293330,0.182460057412,6.18482389011,4.96616197404,1067,7.378472222222222,2
19824406,0.0659760441242,27.6046412687,19.3366732742,4505,1.010766864425401,16
20432044,0.0644676128686,26.0457934318,17.8542007643,5633,2.694765935394714,11
02550234,0.261830041234,31.5727095171,27.1855186376,2540,0.15723270440251572,1
16681669,0.148598910729,30.3526220788,27.4465851433,1964,4.1483650561249386,1
70707445,0.136820406826,25.6919171625,22.5285001387,2270,1.9438444924406046,2
03190281,0.281365287251,20.2885205669,16.6573473859,6406,0.28019925280199254,11
32963297,0.999977595459,0.0236152500151,0.0132736239522,14,17.647058823529413,1
42704271,0.378257711487,22.5148567728,19.7039391465,495,25.675675675675677,2
20074571,0.486665845573,10.1111471043,7.79903957792,250,0.398406374501992,3
70187030,0.188832006355,18.7661549158,16.229732316,4987,1.6952493593534397,3
44641869,0.224488317856,28.9716762359,24.2609685119,5654,0.7024938531787847,5
02610271,0.288387394008,21.1071911594,15.7498833762,1851,1.855779427359491,2
09420943,0.173586497337,18.4282087836,15.652144155,1609,1.2277470841006752,3
09830984,0.30024573589,23.4165634301,18.9160758667,3623,0.6035665294924554,7
12751276,0.188190721487,28.2074418917,17.7660758022,6202,0.4334564135495264,8
46830107,0.141713117596,18.8272957468,16.3935679257,2915,2.0826335236815585,8
15561557,0.0726606539772,6.14704672857,4.55978886623,1883,25.129224652087476,4
41364137,0.459427409305,19.3843649029,12.9883412726,242,2.0242914979757085,1
62521502,0.437144803433,21.849028734,17.633772321,198,0.0,1
17381739,0.13313074895,32.0556224153,30.0418420739,3352,0.5341246290801187,1
31123924,0.336341974924,15.0269482344,11.8147291715,1817,0.4383561643835616,2
04592079,0.580122277104,9.10770582463,6.74106316599,155,0.0,1
13391340,0.124164250661,31.9545688198,28.1165472496,4524,0.6369426751592356,4
40984015,0.930882079841,0.721761192093,0.478744057257,44,90.73684210526316,3
21336244,0.300509165484,19.6030592959,17.0542203644,2942,3.9190071848465053,6
34443447,0.944386676032,6.19463131209,3.01008583772,36,2.7027027027027026,3
15601280,0.194797805113,18.1285776086,14.6519182126,2557,0.6990291262135923,3
39893990,0.233987771647,18.3266527663,13.7864961642,1592,2.570379436964504,2
40732583,0.349194026264,13.4035078205,10.0353835145,623,6.736526946107785,3
32093210,0.163015598787,29.4963450499,27.1626528674,3284,0.2733070148800486,6
14881489,0.108949394977,34.6554644985,28.2027001442,3314,3.269118505545826,1
31913192,0.227525338943,29.5730348841,24.0710189847,558,3.292894280762565,1
47461845,0.295822237708,23.8956668021,20.9368365021,1181,0.42158516020236086,3
72687270,0.585687510167,11.6673345016,5.19245319035,60,7.6923076923076925,1
02770335,0.292510026458,18.9824247541,15.4954223814,3157,1.0034493571652556,1
24182419,0.179843314364,30.5152375476,27.3391810341,2848,0.8356545961002786,1
21872188,0.347132114458,27.3640034856,21.0235913515,8630,1.8425841674249317,7
04040747,0.270848264662,20.6572614135,15.7735309407,13324,0.5671641791044776,12
44131476,0.317073396762,23.2795483857,18.3854833364,8249,0.35032616574051706,14
44692262,0.347321187805,25.2143905052,19.8597466778,533,0.929368029739777,1
37123713,0.3503293706,18.4668566881,14.3341118165,2646,0.6756756756756757,6
36493650,0.269215303253,3.14298537178,2.44116742063,686,27.789473684210527,2
17731774,0.11891879004,23.3153588559,17.0014088672,1773,33.694839192221394,2
49802288,0.999523459897,0.462549181902,0.317157006968,18,0.0,1
40974103,0.671125712008,14.7909362609,9.98088723986,502,0.0,4
60572183,0.241585012621,17.98810159,11.3636171784,609,10.044313146233383,2
39963997,0.318888709857,18.6656090718,13.2548849207,739,4.890604890604891,1
03990400,0.220366372693,31.0693340572,26.3495736135,8160,0.6695069993913573,12
00850086,0.166214429245,31.2935179828,28.1201145686,2983,0.4006677796327212,8
34953496,0.636576686193,5.4253258116,2.2507765158,94,17.54385964912281,1
37233724,0.201607910337,16.9879397998,13.7066123433,1088,5.963699222126189,2
11321133,0.241749865585,26.8657204741,19.5978454446,1201,12.654545454545454,2
71083935,0.408970223201,18.8751743231,15.2471210807,1961,0.9595959595959596,3
07410742,0.261835447146,25.54572176,23.5016757117,2623,0.11424219345011424,1
37367204,0.189859797332,19.9969726816,17.7988738744,981,1.998001998001998,3
43972848,0.249789281002,19.8605369019,16.0286082761,4253,0.7699486700886607,7
00140053,0.173534085925,28.8031506964,25.4229101719,2700,0.14792899408284024,1
