SSID,R-squared,MAPE,MdAPE,Row_Count,Outlier%_Cut,JPID_Count
12771219,0.18183823023,29.9178695168,24.302274447,14262,0.3841586924635049,17
60421022,0.291470768543,5.46257426159,4.77097145667,550,6.462585034013605,2
61086109,0.12330218912,31.3235324555,25.3517563782,3848,0.10384215991692627,1
11391140,0.338217209914,34.8669646709,30.5942981126,1539,0.901481004507405,4
12444597,0.360660849192,12.2017452786,10.08723698,1875,1.6264428121720882,2
14802912,0.117752392807,19.3829943526,12.8832921384,3954,0.3277035543231661,3
04072498,0.194029487039,36.2985449151,33.0307551956,6328,1.0940919037199124,6
37953797,0.227901364943,22.5463483831,16.1552070807,1417,0.42164441321152496,6
29953154,0.286926221258,20.9799205899,15.3458570954,1196,3.236245954692557,7
51491419,0.0543164283922,31.9067898415,35.7293852437,6249,0.2713054580274497,2
01150037,0.161011494018,31.9707427369,29.1688100985,8761,0.09123047097730642,12
22742508,0.987009372218,1.6032907449,0.87770348113,18,5.2631578947368425,1
36893691,0.428651003232,24.3428811302,18.8069891457,2211,0.2706359945872801,4
34194762,0.254391741122,27.1362584255,23.5644769229,1943,0.10282776349614396,3
03850387,0.77593082262,6.79277295359,2.80602263286,36,0.0,4
19827435,0.96348303318,2.02356861566,1.06728661328,34,0.0,1
09270938,0.253316756305,17.5758776201,13.9947862116,838,0.356718192627824,1
24452457,0.160742065842,29.7693414086,22.8206512228,3032,0.5575598556903902,1
32823283,0.237271015535,42.2611098241,29.2920189647,788,0.5050505050505051,3
44320119,0.206740716325,34.7104606448,28.8970214594,12764,0.054811682718659466,21
73437318,0.265034936135,13.3843990289,10.3813778484,1464,0.2724795640326976,5
71234347,0.377141375717,19.9082730085,16.9034451839,1700,0.11750881316098707,1
41854584,0.309835325753,17.4068603897,14.8516372358,724,0.13793103448275862,5
21602161,0.239116708506,32.809226862,24.7719924685,2423,2.4557165861513686,7
29852986,0.168735962281,19.1261702188,14.9799228808,2581,0.11609907120743033,2
11981222,0.329227433194,24.5160570963,18.9775601296,1850,0.05402485143165856,5
61126113,0.122726291866,21.9628681489,21.3671875948,3772,0.15881418740074113,2
24912492,0.224763451743,43.1033039251,34.2621192648,2959,4.177461139896373,4
28107385,0.45412918238,35.5615425061,29.0155745172,372,8.148148148148149,1
08860887,0.285349706781,29.4728590563,27.3913773883,3656,1.1090073032188261,5
05930594,0.157207826999,30.9047710672,23.4367274504,2708,0.2210759027266028,6
07602007,0.648474841647,12.9358826267,9.79024445574,313,4.281345565749236,6
36905079,0.696335702247,13.6334826023,9.82717862168,248,0.0,4
26824690,0.55954962197,17.6579692857,12.8900333279,242,1.6260162601626016,3
26472648,0.165649479121,18.5566576853,12.9850498264,3117,0.3197953309881676,2
12981121,0.288853547892,31.3791951108,28.2449211853,1635,0.0,1
04490450,0.383751460362,27.7796916188,23.3864308665,1666,2.172636523781562,7
04250426,0.113136934,34.5840826629,27.2106662512,5127,0.05847953216374269,8
71567020,0.26638564268,14.1660717079,12.8683790205,1265,0.3937007874015748,2
74323454,0.270488327713,5.30143532854,4.16848128915,603,19.492656875834445,2
72487207,0.502120069748,9.87137881959,9.31831629795,246,0.0,1
28874587,0.28699989185,20.5873499641,17.6579824383,1701,0.23460410557184752,4
17291730,0.187875512251,20.9559997395,10.0541664186,1703,8.490059108006449,1
22427435,0.335730712599,7.74323125457,6.30152110119,3714,0.24174053182917002,5
73753466,0.329378339362,17.5198813212,13.9687302634,886,0.3374578177727784,2
07720775,0.604345998234,18.4573186983,14.1865488076,415,2.1226415094339623,11
37433744,0.787549679348,14.5901803134,10.61938327,86,0.0,3
47681845,0.553965591249,8.17385410712,6.3727176484,935,2.094240837696335,1
24784527,0.24911654095,32.0679350922,29.2393135291,1942,1.7206477732793521,1
02200221,0.206277181166,30.5828283505,26.2003890374,4853,0.7972199509403107,3
07680769,0.172128696906,35.5511816428,30.0955993093,14462,0.8093278463648834,28
50815082,0.302441774377,31.0600995865,23.3322224575,1530,0.8425145819831497,2
63656276,0.229285339496,23.3338995241,17.477773521,2088,0.04786979415988511,1
