SSID,SSID_distance,max_sec,min_sec
00020192,627.520906678414,112.95375416581419,34.755003206681316
00024726,317.0344572358008,57.06619773714832,17.558831045457744
00024962,813.8560048286981,146.49406914964013,45.07510069635619
00030012,627.4167788439565,112.93501115711128,34.74923612676101
00030192,616.90017333226,111.04202231644501,34.16677798968141
00040194,489.0492287000977,88.02885412370925,27.085802768970265
00060194,462.91211007469974,83.3241731475121,25.638208542273624
00070011,587.6942976849632,105.78496512049617,32.54922183980173
00070194,449.46108037939103,80.90298799605135,24.893228454409883
00084962,663.13415764277,119.36413882656748,36.72742936538592
00100012,467.33328003890256,84.11998367740377,25.883073334263567
00110014,192.80394684253108,34.70470765527898,10.678372177657176
00120014,230.87954958798707,41.558315601172424,12.787174739342676
00140015,224.24034685652686,40.3632592051141,12.419465058651578
00140053,258.61151402437906,46.550068800382725,14.323098885704715
00150017,357.5589085798854,64.3605983955315,19.80326214157489
00150834,262.95840148732697,47.332508481118175,14.56384957003412
00160073,372.68397541897093,67.08311020876594,20.640958130504035
00170018,352.51021450632015,63.451833534990946,19.523642168998848
00173676,10308.376391005382,1855.5076019403605,570.9254476021332
00176312,9876.34978916078,1777.742819829515,546.9978210120354
00180019,145.8286313973543,26.24915155159165,8.076662463197161
00190021,340.6711577347978,61.320803486599324,18.867940579331805
00210022,448.9041413754015,80.80273898335315,24.862382602640512
00210085,452.76887411519937,81.49839082086461,25.076429333729706
00220023,243.81345327939925,43.886418079378416,13.50351400308023
00230024,290.3032896817012,52.25458796233917,16.078335648135187
00240025,234.32669502209924,42.17880172967372,12.978093558686272
00250027,515.4236085161028,92.77624211079913,28.546537615130923
00270028,248.24296571020292,44.6837302531381,13.748840839362849
00280029,212.49117991460133,38.24840932475549,11.768741982501195
00294680,167.083811304349,30.07508362877613,9.253872398299395
00300069,199.5348163771304,35.916264074582344,11.051158788858698
00310032,169.2394753005974,30.463103117059283,9.37326301669123
00320033,338.12825439050357,60.86308092124417,18.72710285911459
00337220,314.6346414234977,56.63423092549112,17.42591817297112
00350036,202.24737328331318,36.404524278634426,11.20139270611845
00360037,261.2321802083996,47.02178867576883,14.468243470785369
00370038,348.4948853049962,62.72907433657337,19.30125471101506
00380039,202.0618717126023,36.3711339985777,11.191118773224282
00390040,424.17601281679,76.3516761988881,23.49282474695268
00390116,590.8022738297724,106.34440078180697,32.721355898969406
00400041,259.1854959796608,46.6533855440681,14.354888654753186
00400146,168.51376867743602,30.33247593534041,9.333070035474734
00410042,309.5884364765591,55.7259141077075,17.14643605971254
00420043,253.93109301540977,45.70759308616631,14.063875574665758
00430044,174.56834608069028,31.422299780740268,9.668400468016065
00440045,373.61141608674484,67.2500495156101,20.692324073916353
00450046,319.7730339448485,57.55914150534141,17.710506059456076
00460047,380.9927493034524,68.57868938832628,21.101136365086315
00470048,203.06649157356355,36.551965559084195,11.246759256461754
00480049,298.0952951537395,53.657148835101204,16.509892863655903
00490050,179.28231408229712,32.27081395314836,9.929481766293828
00490051,286.53295572641144,51.57592790467982,15.869517157290058
00500051,107.20074626605444,19.296132784199177,5.937271954740936
00510052,155.65354991489264,28.017636743269733,8.620811783081765
00511174,546.1285631748979,98.30313350723094,30.24711967744986
00520261,356.9370549297205,64.2486647474565,19.768821017182773
00520262,370.5264237660017,66.69475094230023,20.521462964973313
00520263,398.50558301043947,71.73099920339916,22.071077900367037
00520265,452.7191942215768,81.48944844072794,25.0736778319968
00520277,754.3751550511167,135.78751704619964,41.78077678976581
00524725,605.6826987745008,109.02287705757996,33.54550249100613
00530054,182.14497229025073,32.78609238935774,10.088028986216251
00540055,195.0533850536002,35.109606500879515,10.802956444742007
00550056,535.5628883747995,96.40131219535894,29.661943856771817
00560058,316.2138113523223,56.918481489939495,17.513379889953114
00570058,306.21733305558905,55.119115540476784,16.959728797916224
00580059,245.20399670479182,44.136715875925255,13.580528713975456
00584499,199.61370359873035,35.93046377333436,11.055527927178225
00590060,292.2071183253201,52.59727709077545,16.18377846272472
00600820,337.81092051250016,60.80596082777316,18.709527444765488
00601802,351.2203957718005,63.219666181350796,19.452206056230033
00630064,167.9566906951004,30.23220190654192,9.30221648644331
00640065,188.5150220847998,33.93270126064786,10.440831735383822
00650066,188.11572058000093,33.860826995534005,10.418716575662414
00664498,251.05316223630186,45.18956558736909,13.904482489284842
00680030,157.3850956610404,28.329314952642076,8.716712775892384
00690828,241.49715107869997,43.46948371660729,13.375226499737808
00710072,156.73131473554915,28.211634395468096,8.680503371679562
00725144,546.8351455629892,98.43031832691258,30.286253470288546
00730074,349.5063307049791,62.91113449400548,19.357273224096733
00744371,322.8085050250205,58.10552625606159,17.87862445360423
00754501,353.86884331191936,63.696386700434545,19.598889300995182
00770078,372.2270812286538,67.00086926108814,20.615653222124745
00780079,213.1900560532889,38.374207019655444,11.807448967691105
00790080,315.21459501429615,56.7386225634835,17.45803867874776
00800082,291.3067738405937,52.43521509648965,16.13391323095194
00810817,260.90736162743036,46.963321335871754,14.450253519051442
00820083,411.2953729411692,74.03316120675755,22.779435479094037
00820817,241.807422354269,43.52533254174181,13.392410754577096
00830084,123.74031945615,22.273255720246542,6.853309831951451
00840050,277.86798519371933,50.01623333357081,15.389611108830952
