,JourneyPatternID,JPID_length
88094,00590001,39
88141,00611001,47
88219,00650002,83
90196,015B0002,50
90259,016C0003,23
90424,01841002,23
90473,02200001,82
90594,025A1001,39
90774,027A0001,37
91010,031A0001,72
91027,032X0001,45
91557,041X0001,36
92040,067X0001,68
92596,00041001,62
92636,00041002,34
93129,00131004,89
93135,00131007,85
95019,00650001,82
95459,007D1001,55
96535,01450003,56
97804,031A1001,73
97816,031B1001,55
100552,00261001,27
100859,00331002,17
101729,00610002,57
102186,00790001,33
102524,01200001,27
105427,051D0001,43
107175,00170006,48
108769,00680004,74
108869,00750001,77
110001,01421001,42
110186,01451002,65
110521,015B0001,52
110822,01851008,15
110831,02200002,80
112411,066X1001,49
112444,069X0001,21
116418,017A1001,60
116522,01851003,20
119468,00681004,62
120769,029A0001,43
123169,00330003,95
123592,00401003,38
124081,00630003,50
124428,00750002,86
124465,00751003,81
124648,00830003,40
124736,00841002,87
125754,01451006,61
126378,02201001,79
127394,041C0001,60
127759,046A1005,44
127937,066B1001,47
130208,00391001,78
130317,00400002,35
130670,00470002,52
130863,00611002,57
130987,00660001,60
131514,00831006,40
132081,01231002,16
133564,027B1001,50
135777,00130004,93
136849,00371001,63
139256,01450002,50
140225,025X1001,42
140399,027B1002,50
143763,00381003,48
147357,031B1002,77
147486,038A1002,59
153452,017A0005,59
153982,027B0004,31
159453,00081002,49
160251,00171003,52
160335,00181002,50
161361,00441002,35
161542,00610001,47
162225,00841001,87
163373,01511003,41
163649,01840001,44
170153,015B1002,43
170887,031B0001,66
170895,032X1001,44
173929,00331005,93
179740,00170002,65
179746,00170005,54
179999,00271002,41
181080,00681005,43
182536,017A1002,58
188150,00110002,21
188665,00160004,62
190531,00751002,61
190926,01161001,61
193258,040D1002,44
194954,00131010,35
196597,00470003,24
197310,00791001,32
197328,007D0001,54
200450,056A1001,53
203687,00680003,69
206194,033A1002,54
210344,00681003,69
210769,00841004,48
222569,00410007,43
223483,00831003,30
234003,01510002,49
235054,033X0001,63
239017,00650003,74
240612,01451005,37
244903,00371002,50
256554,86-2,5
258059,00310002,43
258680,00411004,32
261218,01851006,11
263831,00150002,34
268971,00171002,65
270074,00830006,33
274685,00681001,71
284309,041A1001,53
287902,00651002,88
288789,01220002,22
290867,039A1002,51
293817,00390002,80
294551,00631004,46
294778,00691002,52
296542,016C0001,36
300657,00400003,31
304021,033B1002,15
306277,00171004,51
306617,00330001,96
306906,00400004,66
307388,00631002,14
311365,00331001,99
312984,017A0002,59
313040,01850006,27
318150,01450005,59
325507,02201002,75
327816,00091002,37
